panSetAngles,tiltSetAngles,currentTimeMS,panAngle,tiltAngle,panVoltage,tiltVoltage
30,30,0,0,0,0,0
30,30,6,0,0,0,0
30,30,13,0,0,0,0
30,30,21,0,0,0,0
30,30,28,0,0,0,0
30,30,35,0,0,0,0
30,30,40,0,0,0,0
30,30,50,0,0,0,0
30,30,57,0,0,0,0
30,30,65,0,0,0,0
30,30,71,0,0,0,0
30,30,78,0,0,0,0
30,30,84,0,0,0,0
30,30,91,0,0,0,0
30,30,98,0,0,0,0
30,30,105,0,0,0,0
30,30,112,0,0,0,0
30,30,118,0,0,0,0
30,30,124,0,0,0,0
30,30,131,0,0,0,0
30,30,138,0,0,0,0
30,30,145,0,0,0,0
30,30,151,0,0,0,0
30,30,157,0,0,0,0
30,30,165,0,0,0,0
30,30,173,0,0,0,0
30,30,181,0,0,0,0
30,30,186,0,0,0,0
30,30,192,0,0,0,0
30,30,199,0,0,0,0
30,30,206,0,0,0,0
30,30,212,0,0,0,0
30,30,218,0,0,0,0
30,30,224,0,0,0,0
30,30,231,0,0,0,0
30,30,237,0,0,0,0
30,30,247,0,0,0,0
30,30,253,0,0,0,0
30,30,262,0,0,0,0
30,30,268,0,0,0,0
30,30,277,0,0,0,0
30,30,282,0,0,0,0
30,30,289,0,0,0,0
30,30,295,0,0,0,0
30,30,301,0,0,0,0
30,30,307,0,0,0,0
30,30,314,0,0,0,0
30,30,320,0,0,0,0
30,30,326,0,0,0,0
30,30,333,0,4.8,6,7.5600004
30,30,339,1.4,16,5.7200003,4.2000003
30,30,345,7,22.4,3.2000003,3
30,30,353,12.599999,27.2,3.76,3
30,30,361,12.599999,28,2.5,3
30,30,369,14,28.800001,2.5,3
30,30,376,14,29.6,3.2,0
30,30,383,15.4,29.6,2.5,0
30,30,390,15.4,29.6,2.5,0
30,30,397,15.4,30.4,2.92,0
30,30,404,16.8,30.4,2.5,0
30,30,415,16.8,30.4,2.64,0
30,30,424,18.199999,30.4,2.5,0
30,30,431,18.199999,30.4,2.5,0
30,30,439,18.199999,30.4,2.5,0
30,30,447,19.6,30.4,2.5,0
30,30,454,19.6,30.4,2.5,0
30,30,461,21,30.4,2.5,0
30,30,468,21,30.4,2.5,0
30,30,476,21,30.4,2.5,0
30,30,484,21,30.4,2.5,0
30,30,492,21,30.4,2.5,0
30,30,499,22.4,30.4,2.5,0
30,30,506,22.4,30.4,2.5,0
30,30,514,23.8,30.4,-2.5,0
30,30,522,23.8,30.4,-2.5,0
30,30,529,23.8,30.4,2.5,0
30,30,536,23.8,30.4,2.5,0
30,30,544,23.8,30.4,2.5,0
30,30,551,23.8,30.4,2.5,0
30,30,558,25.199999,30.4,-2.5,0
30,30,566,25.199999,30.4,2.5,0
30,30,574,25.199999,30.4,2.5,0
30,30,581,25.199999,30.4,2.5,0
30,30,587,25.199999,30.4,2.5,0
30,30,594,26.6,30.4,-2.5,0
30,30,602,26.6,30.4,-2.5,0
30,30,609,26.6,30.4,2.5,0
30,30,617,26.6,30.4,2.5,0
30,30,625,26.6,30.4,2.5,0
30,30,632,28,30.4,2.5,0
30,30,640,28,30.4,-2.5,0
30,30,647,28,30.4,2.5,0
30,30,655,28,30.4,2.5,0
30,30,662,28,30.4,2.5,0
30,30,672,28,30.4,2.5,0
30,30,679,28,30.4,2.5,0
30,30,687,29.4,30.4,-2.5,0
0,0,2697,29.4,30.4,0,0
0,0,2705,29.4,30.4,0,0
0,0,2711,29.4,30.4,0,0
0,0,2717,29.4,30.4,0,0
0,0,2723,29.4,30.4,0,0
0,0,2730,29.4,30.4,0,0
0,0,2736,29.4,30.4,0,0
0,0,2742,29.4,30.4,0,0
0,0,2748,29.4,30.4,0,0
0,0,2755,29.4,30.4,0,0
0,0,2761,29.4,30.4,0,0
0,0,2767,29.4,30.4,0,0
0,0,2773,29.4,30.4,0,0
0,0,2779,29.4,30.4,0,0
0,0,2786,29.4,30.4,0,0
0,0,2792,29.4,30.4,0,0
0,0,2799,29.4,30.4,0,0
0,0,2805,29.4,30.4,0,0
0,0,2812,29.4,30.4,0,0
0,0,2817,29.4,30.4,0,0
0,0,2824,29.4,30.4,0,0
0,0,2831,29.4,30.4,0,0
0,0,2838,29.4,30.4,-5.28,-9.12
0,0,2846,22.4,26.4,-3.0800004,-7.92
0,0,2854,22.4,24.800001,-4.48,-7.4400005
0,0,2861,22.4,24,-4.48,-7.2000003
0,0,2870,22.4,22.4,-4.48,-6.7200003
0,0,2877,22.4,20.800001,-4.48,-6.7200003
0,0,2883,22.4,20.800001,-4.48,-6.2400007
0,0,2891,22.4,20,-4.48,-6
0,0,2899,22.4,20,-4.48,-6
0,0,2906,22.4,20,-4.48,-6
0,0,2913,22.4,20,-4.48,-6
0,0,2920,22.4,16,-4.48,-4.8
0,0,2928,21,14.400001,-4.48,-4.8
0,0,2934,21,14.400001,-2.8000007,-4.32
0,0,2942,21,13.6,-4.2000003,-4.0800004
0,0,2948,21,12.8,-4.2000003,-4.0800004
0,0,2959,21,12,-4.2000003,-3.6000001
0,0,2966,21,12,-4.2000003,-3.6000001
0,0,2973,19.6,11.2,-2.5200005,-3.3600001
0,0,2979,19.6,9.6,-3.92,-3
0,0,2987,19.6,9.6,-3.92,-3
0,0,2994,19.6,9.6,-3.92,-3
0,0,3001,19.6,8.8,-3.92,-3
0,0,3009,18.199999,8,-2.5,-3
0,0,3017,18.199999,8,-2.5,-3
0,0,3024,18.199999,8,-3.6399999,-3
0,0,3031,18.199999,7.2000003,-3.6399999,-3
0,0,3037,18.199999,7.2000003,-3.6399999,-3
0,0,3045,18.199999,7.2000003,-3.6399999,-3
0,0,3052,16.8,6.4,-2.5,-3
0,0,3059,16.8,6.4,-3.36,-3
0,0,3066,16.8,6.4,-3.36,-3
0,0,3074,16.8,6.4,-3.36,-3
0,0,3081,16.8,6.4,-3.36,-3
0,0,3089,15.4,5.6,-2.5,-3
0,0,3097,15.4,5.6,-2.5,-3
